# name : third_layer_dichroic_HK
# author : J. Bailey
# date_created : 2026-03-16T12:00:00
# date_modified : 2026-05-30T18:22:01.898
# description : Transmits K, reflects H
# wavelength_unit : um
# changes :
#
wavelength transmission reflection
1.81 0.000000 0.984572
1.82 0.000000 0.984572
1.83 0.000000 0.984572
1.84 0.000000 0.984572
1.85 0.000001 0.984571
1.86 0.000040 0.984532
1.87 0.000788 0.983784
1.88 0.008726 0.975846
1.89 0.055423 0.929149
1.90 0.208000 0.776572
1.91 0.485446 0.499125
1.92 0.766522 0.218049
1.93 0.925164 0.059408
1.94 0.974993 0.009579
1.95 0.983686 0.000886
1.96 0.984526 0.000046
1.97 0.984570 0.000001
1.98 0.984572 0.000000
1.99 0.984572 0.000000
2.00 0.984572 0.000000
2.01 0.984572 0.000000
2.02 0.984572 0.000000
2.03 0.984572 0.000000
2.04 0.984572 0.000000
2.05 0.984572 0.000000
2.06 0.984572 0.000000
2.07 0.984572 0.000000
2.08 0.984572 0.000000
2.09 0.984572 0.000000
2.10 0.984572 0.000000
2.11 0.984572 0.000000
2.12 0.984572 0.000000
2.13 0.984572 0.000000
2.14 0.984572 0.000000
2.15 0.984572 0.000000
2.16 0.984572 0.000000
2.17 0.984572 0.000000
2.18 0.984572 0.000000
2.19 0.984572 0.000000
2.20 0.984572 0.000000
2.21 0.984572 0.000000
2.22 0.984572 0.000000
2.23 0.984572 0.000000
2.24 0.984572 0.000000
2.25 0.984572 0.000000
2.26 0.984572 0.000000
2.27 0.984572 0.000000
2.28 0.984572 0.000000
2.29 0.984572 0.000000
2.30 0.984572 0.000000
2.31 0.984572 0.000000
2.32 0.984572 0.000000
2.33 0.984572 0.000000
2.34 0.984572 0.000000
2.35 0.984572 0.000000
2.36 0.984572 0.000000
2.37 0.984572 0.000000
2.38 0.984572 0.000000
2.39 0.984572 0.000000
2.40 0.984572 0.000000
2.41 0.984572 0.000000
2.42 0.984571 0.000000
2.43 0.984535 0.000000
2.44 0.983839 0.000000
2.45 0.976322 0.000000
2.46 0.931376 0.000000
2.47 0.782188 0.000000
2.48 0.506770 0.000000
2.49 0.223665 0.000000
